Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date,SLA_Postal,SLA_Latitude,SLA_Longitude,SLA_Address,SLA_Building,SLA_Road_Name,SLA_Search_Query,SLA_Status,SLA_Missing_Fields,SLA_Is_Complete,Jigtech_Search_TOP_Year,Jigtech_Search_Status,Jigtech_Search_Query_Masked,Jigtech_Search_Log_Encrypted,Jigtech_Search_Source_URL,Building_Age_Years,Nearest_MRT_Distance_KM,Nearest_MRT_Name,Nearest_Supermarket_Distance_KM,Nearest_Supermarket_Name,Nearest_School_Distance_KM,Nearest_School_Name
SIGNATURE AT YISHUN,YISHUN STREET 51,27,Executive Condominium,3.0,"4,400",100 to 110,"1,000 to 1,100",Jul-23,768088,1.417484531136986,103.8450374885335,27 YISHUN STREET 51 SIGNATURE AT YISHUN SINGAPORE 768088,SIGNATURE AT YISHUN,YISHUN STREET 51,SIGNATURE AT YISHUN YISHUN STREET 51 27 Singapore,matched,,True,2017,matched,[masked:9058153dfe0d],gAAAAABqkEP2fBOIwszWWzdPHhcC9nL6_CcUQ75Xbu8jxrHRNj70SBQA7UsG35eSn2_hrJzPzxqFcAnd2HM_XUzZyvfQuHWVJQDvZb9CHwXOJsOddKoUp7_7uCV8s6fJhzq-GLBPAuDodc35e4IfZX_kr3N4xvJe0z4qtqifv7Y8K2pHmC7fda65CFB2pB7SP1xcvKID0shZeZ-QJVq-QHzNdZm-LOUIykz6HxjRHNzY5tKrKxHRKD4tQPqBwsDkUcGwHrcrUZXMOV479Ng9GoiwvJx6jFWp_EpdfdQLvcJWHWdBawcUe2TN-beXg2GqIIuxlUevWJBsr9nqoDueLPhkobG4miDjpE0Gfz9VNkuZctPXQ5_boZ9-MlelXMcBDyJXen1kNqTUciLQbz19TYySCxfbdRMt_cpnF20aHloeHE5NnuajBz-bh-sMO2eRDtMwYpe4o8IRzh7zp3gQ0kvbVYhnmKUIKuDVRGxFAbD5HIFWPyb4O0e0uC_YssxeYhTFwYv-i0SaXnGjYBcIM5pwAg4sOb8V8z4oVPSNcCZ5-uHudF2g97bxhGFV_OBKAgllgzFnCHICZmVydXc4GJXVlBUEJKAd8oJL8kU0EZuBSQF9TS2a1jQ2vMFsDGykc4Ob6x3WlhD0nk1Dvj2R6wUOWzwGVO5GC9GXLxwKi8hxEcimIr9BNmYAGObIG0Ma2kZRORCGwe608i7-MKh-xHct9hd87nlgrofdl31Ag9laHPQniOVcH0_r-OSKiAQ3j7kRfWM4YZc2BrToljbo6OPZ61jSxCan9JMrvLj2q3BGPH4QqKIRtEOLMLt5W1EPRUauCv1YyJFfOEE4ZcsyITdR6mT74njBqgpI0HbQVhYSkfmS8iMSeQcTHTD2bhzS02YUa4I-lOe9AV0YyDmWWZRmdi-yWKiSprD4baRWz5d1PfQgbWurcinUGzp6F5UowNRr30MeuqQa0wd_dosrWC8plIvx8M4CaCniMrQOExS4WzkXZe-z-T4xgW6Pp9Et5gEpRXgUKEdPT-eg8GmSm-5LnVbbsh1z5NQzaQrHx3JWA8LfgOmJAgna5MhcSLVKoLn_19PDTMQu,https://shioknest.com/blog/review-signature-at-yishun?lang=,9,1.34,KHATIB MRT STATION (NS14),3.29,FAIRPRICE CANBERRA PLAZA,0.6,NORTHLAND PRIMARY SCHOOL
PRIVE,PUNGGOL FIELD,19,Executive Condominium,2.0,"3,500",70 to 80,700 to 800,Jul-23,828748,1.390654591613188,103.9127525677816,19 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828748,WATERWOODS,PUNGGOL FIELD WALK,PUNGGOL FIELD 19 Singapore,matched,,True,2015,matched,[masked:450d91b52fe8],gAAAAABqkEP5wzVs-N7fG9SZzqvALKWmBULF85mL8lM4j6Fxy0-ol-1_9rYox3ZDoKwCyul-dDzlIB2e_1h0KzSgligbycaYJ5FngrIzFd6L9SYqlbf3XIpY1S_2a-E8byOQk0hb5ByvmQbZz-DPzMuzf737tRKK1kkng0DVrz-2qq9m5FloawA5HFY3Ij_ZDPqGPpSz1BXPHTSv2m8bkCByw_AmidA1wS362oY8B8EtlPc-nG5hkDdElRTIX0KHgr4MrjoYoc3P4qIWA5ZDcv3TEZoSAfKgrqSml9IBAI-eH2pjP-9c4dSpJJd1ehBkZO063hY1lfxpXdmfVH0TZX9vOG3tPbf2glBaJl1sVfTXS37aiWo_w2nkpt-Ayqx7MZsijCGXcViVi6FolcRj7-wR9KHDVobS1PmC1iwRJgPKNuo9M1YkH6KcM5OtvGHgxYZMwZ_AsW-vHOdQr8cLRo3BJLCNftpHfuP5VvwIRCSTWtMyyGpA7j4P4dpVod1rCPxSNnWcTiFrCXXDMHSLMz20v4adEQNivkoD2xom9x98ShjqnNWY4K8UUXL17LIgOFp6WOMEnFptHMdX90M4reegCJYLxzA2V6C2drRGm7-aQSqa8qZDWFxjpjHeNyM_EwyKoE2UV7z8EKmvl4PEOAyp6GZ78J7WYrbezOE7jZr5PhXaFPotg-huu4z6TfVPBh-OssoVjq4E9HenVryWfrS7r56-h_0JRSx-peRvwCnkKyeolkwZy3VtOskomZwBaWZivCIpltlcmrau3kaNAvexrSDf0GuFYzopq7hMcoeWoPweSBzr0F3eU-ZqFYyYXbFlUv4EvTkIWEqSZiy_WCLCnt-efJLxJBbhvkAAY3lTMmmmyhbh8b8bFyuCQglP-h293Rf9t2lIDfglwxraU838SBt1DsY3dmQ0IgKTpdDmnFnfLqHkxAIFg6iqzVeII6WSyZN-bZpeTUwqaXeF3DAoiiCZ0iNtrb7PZXeXKyVyjCcxzOMsdlv9HVbGdA2IdtaM0743ukFhneXmq3hPnzFpAnWFWQbLL_7EUQSYbs1DZZfYwGEiR-Q=,https://propkaki.com/condo/waterwoods,11,0.36,CORAL EDGE LRT STATION (PE3),1.27,FAIRPRICE RIVERVALE PLAZA,0.71,GREENDALE SECONDARY SCHOOL
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,18,Executive Condominium,4.0,"6,200",120 to 130,"1,300 to 1,400",Jul-23,528615,1.359972606010334,103.9407002811776,51 TAMPINES CENTRAL 7 CITYLIFE@TAMPINES SINGAPORE 528615,CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,CITYLIFE@TAMPINES Singapore,matched,,True,2016,matched,[masked:a4af9ae8dda4],gAAAAABqkEQEi8PbibQhinRKnDrLPYGkFUp9XIn__qVfn4qZX8DrJwmgf0teOQJci1JHYnErguFXLV68rBap57EyiwO5QanBhTpaZfh9-uHHzb3rwZ87dPunjnG5wfEwKMIltecUCCozG7G7vAOXwEfKLv_b21mnnG0kHmeNbjnRhD4FJ6ksZQijob_7XCGrmbpsCNAdtPRKhFQhQNVgFRr1EY0w7E5XIyhwucIl4Qw6R10BppHa2Ay7l3c4mZPLPe7yxPgbRRMwTFB5kHLkm6EozCb1JdFqPp4ea_hWhF7Dxd4chDB_SpCuO0rU31dRfPSP3woe-6laE2S0lz-N2lk5mP4LdFPzTSuVxlKAJy3DJMsFutib46JTqqalRG0wlvr9DWA1rdKzdLEYvT-_FH2CKynvzRReTbw4JTwdNqcNlF8kYc6-w2ptC7wjewPq8G29DMHpwH1XjoxHQ3FIqCcbglmd7MHtUyRhyMaOuLepgUdTdtREhq0hAxoMMZPqny2wjFBEDjgzm8gFoAlxPo01CIdRAyf15JREZMY7OWxLO2uUpmurgBnsRA9z9A1YBZ5OaF7drPjW5Nzc5ed6j_OeLwrdVW1yzgr6100RXp1x03yMFfHtPe_DE8DNwwpj1HhCbwTVaR9UotUYYCpVm7Lil04iws9V_4RR4y11Uj7WvPzE-0RvWyTI1KooLaFbviKR0yVv6ktvagIj7OpglNMorLZ39IBLfLZxZw5oPYrHH0_4pin7PijjVmJyCl2WpeRmGZZEcgKvvgXsyRSSB6AJV-K3Epqd_TSSkAzkIenUVT7ma9GYMLgcskflFDqlYUaJQV9i_VpSJ8BmpqGQ5Ohon6U70AHNjtuAANp80ujh9aRRCoWltaCBu7PSGTR6Sqtdr4GNnj8ObiJ7XnIS2kj4I-JB85Lf-UKgXW4gDY6_ouOuOtULqiuwXjZK-8nCAUb1NsFHE--yxukPfg8UsEKbik4E7-LfD_Kwc512dLAKVC7mcIROBg6NEh9MUYXwQI5VKLv9WIdJG9cuz5ec2Kl6yybFj__Qm9FCYy8xFYMoDd2mWh9VhCO6KjQT-slhzL-Jbo7c2bcX,https://www.propertylimbrothers.com/properties/citylife-tampines-d18/,10,1.61,TAMPINES EAST MRT STATION (DT33),0.84,NTUC FAIRPRICE TAMPINES CENTRAL COMMUNITY COMPLEX,0.45,ANGSANA PRIMARY SCHOOL
SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3.0,"4,700",110 to 120,"1,200 to 1,300",Jul-23,649925,1.342516991857708,103.7117340701941,2 BOON LAY DRIVE SUMMERDALE SINGAPORE 649925,SUMMERDALE,BOON LAY DRIVE,SUMMERDALE Singapore,matched,,True,2000,matched,[masked:19e7c644fecd],gAAAAABqkEQE0mJN8i8J26xFhEPC2LtwRL7v-1pteSlIHH4yrp_E_DhFZvgGy_n5Aqn7JxgJafKy9e2dvDVrgi5fLfEKU_k4gYDEjRHzg5o9nPR-cFsls77hM1aNuZjIUv2Wgle-3V4pKk7NDHLeek9nCwbKhNwwye7VZgEANswoR8o9eyHN6jrHm4klfOIsLW2STSzfnxaftU1E4GvXDam7765vWQiCxBniuvnPBIUGW-A6eQ82OA-NLODhAxpBCFRuoNUeyOg96hUfubls7euyjLln7EY-sNtQ9KNMfIZDqn3dVtjT_bP8m2CZAsNvRp-TuT3Wol-AZlvezItiAz_6IamAgvASQPSQc220wXCz86yDLAGxHlj_Hw-CKf7L3yTtJyRN0tBUGwmk6IypymOKGpaW72ak23HDfQAiqWifYJTMVbUawslhmP6kouVS27in-S3CqXpV6Lp_40-4OIm1-SZq0TRmXQyaxvFlm6BXjhjTKng9KWWG6jzowIxU6x-rgKEii_uqSp44XRrOsPt260HYs3BoEHmy0QPTz5DJaRPMzAUuJaTGU7-g8CjeRLkZs_0n2dan72gwrRhzVLAmqPUEdrr22hfSEpFSlR3SDdcoX_gum43bXYulmTZrrdVIUdHgvoyzCJPhk14lEgWlvQzk4D5IkEfE-mH2pw59ITo1_fccpT1IbcsvpK5oP4uHlEwp6BK7Cz17p4ZZ1xsyWR-47zmaVAM9BxI1pxBjCOMbmPxU4EsiXJE_MCvDpEdsIsRCJ2kWoXjdlK4IROB-SaZAsrv6xWaffmNhZSojTuxSh0M4XmLM7zlIsQ3QSyReSQ2M2QNBpqRT-KHHZtirT6KpYPzW5Lz0jBSmAcP3hio5rNYw3j220tc5xNW1OUAP2NLUagNBB2iOu7RrOunnB9rGU-WYe0wN9By7YRn1_7eXfNRNgqWUKJBH1VsabFXd0l3T1nblNCVK2ugkIB0tM5eENe5uT3vcN6ZmZHvecGwoELR4cDV_FGS1lcf-4OA-FESpHCLivfcfAgRGosdLj_OVQ2VVPjDR12VKGcq-vF5EkMl2AIM=,https://www.99.co/singapore/condos-apartments/summerdale,26,0.77,BOON LAY MRT STATION (EW27),1.27,NTUC FAIRPRICE TAMAN JURONG SHOPPING CENTRE,0.88,RULANG PRIMARY SCHOOL
LAKE LIFE,TAO CHING ROAD,22,Executive Condominium,4.0,"6,200",110 to 120,"1,200 to 1,300",Jul-23,618721,1.332155389901202,103.7238176154975,2 TAO CHING ROAD LAKE LIFE SINGAPORE 618721,LAKE LIFE,TAO CHING ROAD,LAKE LIFE Singapore,matched,,True,2016,matched,[masked:b501ae5def12],gAAAAABqkEQFmZ_4efXW5Os3fuRrtfYlVar37e-pPeVLFmxsvkQ-446qSlnhGY_JU0cF19N5duLDno8oUXojKExRnZSjVHtwb2Gk85JHCqBA1aYLPHneCS0cDhC9Gd-dIVP3e3JUG5FZ8bTMXiCSm2ZUYhnBCkTCDruF4yvLgabxKvTZqq0gvPvNyRtlLD9hfnubjKjqIHlwm7ZVlCxR_qAGQKgmB9MwiiK4v2MYG08VmTIfiIn_eV4FnIBAQp7pWPRSO72pDYJptr2gS3Yxyvt4OYcgqH7n9zjsxTYvVJ-mwPIXpEdyYirCVsXWVPPHbXoTVA7TioBn1nEnCq3J-BnlapcVivjj0sqJwboGG-sEb_6mbDbe6XqPXpvH8EjDFM4FlPWsi7RrmKBdbobkb0yR1UQglCQi7Fym50iAFPa99XNAo3Zfas3M9mdLj3a7rkrD9jQJgffcUIoeYGSbnph3jPHOu-YcMF2vuTN3KgRQUkXjp7MqWCU7WW2W3jtaMPnu6bHIqemkdDC16yy5ItI652gpMX9TIxMgimJP9Vq8otbtjALsfXQY3FaZ4ZvcxFw7AjEcDFmEC_BrLFjQ8cnK5D7-_Rc60lu_VIjn0621UcnI9EOmL5nNe-Lta11Z6vxGqH9BSbFHqz9fCjLwkGRI8s8rxz20ZpdX6ebSLd6ZOo6tJQcgq1dREnGKHaK3PHjZEZjsqJix0nocl29d8LPwrSsDXSd0JdCqnO1fARyMg2z_GrQA54HAR8I50z6XjN_8ulgvpOwLl-f5yv4S-8lpf_m9hjRvRfKthDwVv8eLM31m1_l5w9dzTruOaYMER6xMy_xy59K2xZ8V8VSISQQijz5MHIsdGXzJARseWkuZHaUAUUhfRKzXJC0hsUxmmGKJudi2i3oWRUD0Q766VEvJhGwRFE-yFEniarT4jPQchxsQq40audLSlsVnNP5dAvZC4TFwcV110_n1RccxzpTR3ai-v12j3fJLul5DUmvx7Gp3fZVN4NFNgRAQxvolcSUe9wiXEG0S2lhiMt5pEeR15bupXm7K97IKXJNTdeSzDY15ZUVqVy8=,https://cos.sg/product/lake-life,10,1.38,LAKESIDE MRT STATION (EW26),0.51,NTUC FAIRPRICE TAMAN JURONG SHOPPING CENTRE,1.45,FUHUA PRIMARY SCHOOL
THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3.0,"4,000",120 to 130,"1,300 to 1,400",Jul-23,545118,1.380010839009283,103.8987396527917,1 RIVERVALE LINK THE RIVERVALE SINGAPORE 545118,THE RIVERVALE,RIVERVALE LINK,THE RIVERVALE Singapore,matched,,True,2000,matched,[masked:6f9e02eaf888],gAAAAABqkEQA_RVd5HcmImcfbaZUj2iuDdJbGXHQaXqCq6PO_h4WCs4WqsXG96KgmRAI6wbuV7ZFa5BbQmGcDL4Op_VIw8fBl_BdLLQ6pBsW2KF_KUl6Sy_55dWQ6PulvoO6i3QPy_KR0xsgnz9iybrgkm7em1WkTrHdxwaDGqWfQGl2suyEko00E8NUjGNYc-29mYoEBGauYUuC6Pcdxbs2axj54TbA03cdchTPAhk_PoiW-Wx-5Fk3DHC6-pSsgt_p-w1lYHFCzyUEyLxR8lO3d_ilKT1ULLt9tYjIHG_b6isxPTgqqXnkI7QUXNUuqmk9pTtIxFiTEnnsFQ4g1a84v5yH7a33WMvJFUx7EoFJ8cvlOhae3iLy9lJQUFjzthe3ot8s1Ux2-nYkk_d0WfF6GW5AHS_Nk5hpn_dyKLwN65zdAHcUhHwdTLhNPSU1h72ArqenZXDZInqrpQWezOgwgVfwLfeGwP04ZF6-7x7v4FvGNBUVlyudzB-693uuhGSP5b6mIcrFfkgPDYb9MyPD84yHuoAp9MEiX5it3R-Lqnl0m4VTkO15l97ewhPbvxsYWMyeOm6JqgvZ7SWYerOxk_yYnZLFzO9nR0vq0xOGFcB2WM-dvYNKZiOdlPTSPnsc6ZjDTVymJ8RLKug16GimNp2c5Ol29tuf931uMN4vD3pGQjS4ouUpevCe0YcjhawridIVYakNXhwSp8IYlMHGQpJvi9HlwtX4znYgl2UqD4SddTCZbsopw7aU8W8B53HFffZZYaG80psc5pKkmQdSV_5Gz7nr_tLIhFz-77m3H7SbTTvB7sr_3v4igoLomjA-1RfWjAAuprwGBAMuCxj1eJz7MBDCjvKyT-pgDnd9kLV8eTXoxbHsPBRw1WVGv1zD0D2_UzpsGgRIou15uLld2z_n9MH0iM3aZKOxbHpmyOAelrpwUDHyNf9IoR-ovDYqIE2n-1QNCx-QQz41AuH44NyxMeRKMPd5mzRdL2fhyuEHKmYFuUPVJr3ZoVPiP1XCd4jHj9UzGo3-LRpFXaTGJx5oKGEcMXvL-QOfIl6JEpN9PKYETdk=,https://www.99.co/singapore/condos-apartments/the-rivervale,26,0.5,RANGGUNG LRT STATION (SE5),0.75,FAIRPRICE RIVERVALE PLAZA,0.13,NORTH VISTA SECONDARY SCHOOL
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3.0,"4,200",80 to 90,"900 to 1,000",Jul-23,769989,1.439198583897354,103.8291044492156,27 CANBERRA DRIVE THE WATERGARDENS AT CANBERRA SINGAPORE 769989,THE WATERGARDENS AT CANBERRA,CANBERRA DRIVE,CANBERRA DRIVE 27 Singapore,matched,,True,2026,matched,[masked:c32d85c1f20c],gAAAAABqkEP3GqBgaP2XKf5FXq0fSjo8lOPPsKO9JCC8CnISrBYvY6nPwNXsIKKt8R-NrGxJYBROdVDbIlT4My_LugbXwulHpIaSV-rKlmC_rOfDrdGADTxt-TeWonsIeHMoBaFVvMQ3g-R2XuMR4Ei_NNz5lseIz7-jozUaDfA_oe8OdSLfRrpmsqSxU0-ipZI0dk9LHZNS8QCUgDwJaJjB1np1BMuC6_ajq__z6yNYP5T6maLF20y-AesZXYhEnmnCMrbS1ARZQKvnBogHedId0bSzFYjEg-WMrL2-WtE4GMIwBj4R7Pn_ydqcrWcsqmZU5HMsqQOKY4P-FfJDSXcgfPADCAYrefRWr2NW-pC2fMPDRo4RTFq-6_ofgL3GDm-khy-8MLKnNZInzSXMkn2rTMEesyNrM6M25CXTI-HoVURb6PfYqDKSy1iUXAvDCuCUqI9V4Niyl32PTAgu-uS5jyXmqpmZBT8VURsq3iu68cCBrRsgWhRBGp0UKVNHUgACsPOXPNxTWUDP0B2Cm6ae31eLxdRM3fq7HYWIfxXrRAGLy_Wkxus7sE_hV4g5ffM15srCjDmgl01RU3FVwAZeHRRUkbg47YvREgmzx1iz972DuXRmAB7rok6L_8o4N3eocwxCp49KrdyeYz-21myGuej1IUpwRrGrsk96iOjqtNind99i_THQM9Xy8ZlCQvBYqOERrQlRGLFG-8U50MsP9gRzOeOPk1rgEykf1AVZtbVkrn1fOZOsiQQlKwJgPsipxdjRwHFD3qtKUdwcZeNNBNkOJJvY1scNWCSUuA4ZYtnfHiqmLEWkQ-aeyvKw8uAGZQuPydVXg3Ada0gaLezIEEVB6eL5FSWcRLdIyphnwQTg4Qx6amX2zsCp3DT1M2xxOnuwp22zakastDVi9Tg4aGdlwchEGImu5gKZPZ2MwqQtF4WxNNmQVLmB9AOzokwwbUGzaCbG3vzm16qeAWAIMZM2qxpTlvldrg5Y59q4JoeeMMeJjzcl2k6xG4qjnJo8n4J-wCbsUL7eQMVtNTCKi2IlwVKUBBT7ZSOfm-T469TmVn09eANqDinyrTqJ0cfj9MbSEoZO34QXjzet3Bz7pCPeGeAzDw==,https://c28221cc-f81c-451a-8981-b69bdb06be0c.property65.sg/the-watergardens-at-canberra-d27-71-85-230-245,0,0.44,CANBERRA MRT STATION (NS12),0.48,FAIRPRICE CANBERRA PLAZA,1.28,NORTHLAND SECONDARY SCHOOL
FORESTVILLE,WOODLANDS DRIVE 16,25,Executive Condominium,3.0,"4,260",90 to 100,"1,000 to 1,100",Jul-23,737880,1.431685132694332,103.7991628872169,22 WOODLANDS DRIVE 16 FORESTVILLE SINGAPORE 737880,FORESTVILLE,WOODLANDS DRIVE 16,FORESTVILLE Singapore,matched,,True,2016,matched,[masked:cea2c914035b],gAAAAABqkEP8THDtN6xVcl_BeFl1UPXmnRlz_b2olD4oxj-yKhGG049jm1da5mV4H3N7xiPvMpzhD5bTrW8yMWv6m61VxTUY3sucVhiewpnwJMdrGNQpI8ioL-P7d9AfEQub8LAJIjStEk9s-wJp7-ewE0bo5UzMH2_KlTEBaClHzgTPKNDxILvZMapAo0uAuTLqW2ZD8EluZhAVaEYtL6yW4pCdeNXDVauwe-vabEDrKRCI-2w9HPbXx0omMT0s1bUnuD0HSHpzdmBXFX2Ro9GgiTLbvBhKTo-c7lu80Ii2dJOwDVgq7lPyO2c-IVt964g8biW2MdUrIqPvxLN-UUQqC8PQtVSC0LxrIyIiopq00e4GrWJhHakprtU6G5eF-CGXHeTM_6nbTJqUyyQK0WPGPkXsX_EQtlMDbB0e99I-ZYiwzNMdmsVWhoyI8qwnUwuXfKhABLHApyI8F39FDkLkrtXTGSrHSDtwDjUvalzkfv8sB3DcVBPM-yxRbhvm_LWG39QKboiagmRQv_8cKpK2rkHQzUbZVQQc845P0ajZDLYCpxSsZUz5CpCIbBwZtv7FV9o2XmHeVSx4TcEuraMHICDL0Q-cyGNHsscx6v3scQkl32W3KQOEfNeHckWHUfyFcqay9ZTqTDgDRiFBpobuV2rIOenX7AFXy1i-nVj8NC70-xsZBnkJnHiB5aNwKMYxSQFblbM4mNX3WlWU4VeZbXQ8-jVSuqPqOSIHrjpb_QTi9ZUyFhyKc7eSOYqXCqqCcMuwxAdcRRJ_5Tuv1SoNb6hpkhYhRs0HVZYMxj2x9oHUwXL10esb9-SgqRy1LeiJ_o1_G5PhTKSinePq0rIPRbk44msP5bWX6U-wSbIZHdKal48z8HqkrLlDc6ixQBgpR-aYIU0ICD-qsWh4X4Q-Tr0UPIwolfcGQIbYmr0NZypLoRh7oDMpzeWktD-mXCVo9Yp_R2khwHbPsYSckGX4fXqbXMwYIWjv1nHe-WDp9waUrRqliLa28fRPU92LmA6_Lrd2GqX5,https://edgeprop.sg/listing/apartment-condo/executive-condominium/forestville/m_2228573,10,1.01,ADMIRALTY MRT STATION (NS10),1.55,GIANT SUPERMARKET WOODLANDS NORTH PLAZA,1.22,ADMIRALTY PRIMARY SCHOOL
THE TERRACE,EDGEDALE PLAINS,19,Executive Condominium,3.0,"3,800",100 to 110,"1,000 to 1,100",Jul-23,126845,1.308249308770944,103.764903536904,1 MAS KUNING TERRACE THE CLEMENTVALE SINGAPORE 126845,THE CLEMENTVALE,MAS KUNING TERRACE,THE TERRACE Singapore,matched,,True,2001,matched,[masked:46fc5c872928],gAAAAABqkEQCC9RsabE63DWKVhyv2caRhptLRy4c3KShvmNuXkE-GwmPoLZQ3B2_-lGT5OwK3vHL78vm0KecDTFoBZn3tnRfSYq--84t8HTY89q3v0NvhK8tDQgoRIkdepHcUIri6e7pG3ZrzHccXDomyqIpMT0TIbGwCrtuAAquY-QRCyffI4TdK0cOsujgL4vpur7H09w0S6KrnVwCl-dIgnA7ma4N7Aw3NM1s0-lTmi1OWYeadgdfS6jKc6Gd6TVMYcWfgxyYfcW8BtXl_LynG87VUbp0cI-2OX7aDxjlvDFDKTUCk1DqscT-vUcgWac7ZYgku3IM6D_D8DI4n-t48NyaazssHzbXFcrAFrrbfhWiH-HeyYDS__JS0_AESH5qH3_ew9GTMrVY80tvkadXIg8AQ2T_EJ4GbYj3YcfW_Eouak1tO1GFlnZTBj0oyEaOnYUeV9eLhyQyCEGzH72-lsQFq2p630Z_q_OMPPwb9bw3J5fvareI7zDtqwiUqoIxn3ukHq5wYa8_vh-O_-BsetcewfQ_Y5w90kUR-Qo8Sh3OIEI5u34NrVntudmu-yEInmRxPTQjxYJ2r9BJth54CkJ86YSoWPjjdGS7pk7BlFhv65_emGqJNx5wO2plR6UwPsnspA014NCNj0SbY3CCf3MqsTRXDPRjYO0S34NfZpYeldNAVrzBadWnSllEjE7zYWkP-PLJVI6wE76npJibeeHdBzo9g3tRVgsMq0-DE6ZrWmBv86RsNQ3MlKIzCmqHV_Ln8G8Hc8WKU-DAnPZYpIE8QtA9_NSgwlGX26u1ShQ3YbXVmGC1DI7IxZlg52cV4Ea7m2wQDAubmv0A1uA0gaW9BvoqtrI0OsUy8IGbMGyBB7ZlRFkttLJXco2wEZ0f1380nk34yGk5Y-qMHi-nqcO-WHPwd_0kXF41h0pdsH1CtLWOtLhu5qLHRlOCyV_MJUQex-sBlF0r-_m30DM8S5ZTNoY6rCtAhPjyqTk2qUGGnsqUDqg=,https://property.nestia.com/singapore-condo/The-Clementvale/2625,25,0.76,CLEMENTI MRT STATION (EW23),2.54,COLD STORAGE JELITA SHOPPING CENTRE (CAR PARK ENTRANCE),0.78,KENT RIDGE SECONDARY SCHOOL
NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3.0,"4,500",130 to 140,"1,400 to 1,500",Jul-23,569786,1.384367490120189,103.8424103127599,21 ANG MO KIO AVENUE 9 NUOVO SINGAPORE 569786,NUOVO,ANG MO KIO AVENUE 9,NUOVO Singapore,matched,,True,2004,matched,[masked:86a078c0451b],gAAAAABqkEP2v8ry50rNTUcQ4zMuj-fb4hWf5mx_uScayz6AYBa57OLHqigi24T3OPV1CtFKb66KM8mJlCWNGJx-AHJ6xq90lPe5zy-fpg_2dNpE1l-2g4hM_IpExPKWKO-0rHDSZybjrbHS-rZxB8BI0a6Jli2c-2Hr_6pVY_g5j9ZvmqNQbfHK7GeeHZ1qXQyb4TrKSCoWAskkjYENaNkmbckAFkkic0kXaJrlWICyycKUl8FqP-yeO-VwcqEPuxzycPIjwei6-vAyzkV9syprNmYtITFOiUkLhSOl1VByP6HNeP65SD61uh-LlrRZPdD2yGLMV0uaSDKAijlra4nPhUTRq5ogRMCqIFEeH1T6TQB3W5uaiNbTxSrklJ5qXZ9EdVTTWlQczbIjxOUVsIf2f4A4jhRi2Y_LP11oFFqg9ZzFDoOxsaYXi79hh9Q3RCchDpydG36oWB83Ot7VBIeMOvJoJUNqkTnIr4ebQqLpZ_iwdY05EFpi2QbHf0is_tlGfA1pKIki86kPMHd5SIzOnXD1gx0G53WVHnZWFmslKh_ING8wsARAw-u_hq6XFjWF5Ah5iv_GNn3_yvEnSqs6VWX0n_5eHwGQtq43CeXcjLPmXmkHHseKs_ztKtVyyRmhSJfkaB4ExSUu5GFJLKnd5uQGO2IErNAtwkwn9UJgDDwqqmYWmH5IM-YBgV102-oijhc9aZhNUYc-lkil5c7MYboSWtvuAIICGYdzD_pnMVwjEBt09aXX5MvclOjfeFwbahPqRgoWwGNrnrQ0mYlhWgw1wbvnII1wFxobfwNguLDpxiwASCux7nN9PNCJPAfqHPmTZIKlV1Eozb64bT40xk5zWbSiLKyUqBc9Jd6VPvs1pNL5dmvlum8zYtWyoQyi6PVqMG01p3oTzgBOYWubHRpvDrbocyWMNxf3FzFTxK7LzsMJ23eWNcYSr7OYqQtOQJbtnfrBHoFH_VFvoTyvnq62gSRcbGz0wBXIxeqT50HydrTfPBtJo6neZlBELlAhIvABjPmi3N8vxlwhAXgx5yJnxmkDT8LikNTC4LoFgBX1R2mx9FI=,https://buycondo.sg/property/nuovo-condominium/,22,0.4,YIO CHU KANG MRT STATION (NS15),3.43,SHENG SIONG SUPERMARKET,0.11,ANDERSON PRIMARY SCHOOL
